"team","conf","games","wins","losses","adj_t","adj_o","adj_d","barthag","efg","def_efg","ftr"
"North Dakota St.","Sum",29,12,17,66.6,103.82234110544,111.4594554185,0.30655670172238,53.3,53.7,30.3
"Idaho St.","BSky",32,12,20,64.8,102.39399229205,109.93662979221,0.30632121180596,51.1,54.5,33.5
"Western Illinois","OVC",29,17,12,65.6,97.366193052726,104.68045090902,0.30301464113376,46.5,46.5,35.6
"Middle Tennessee","CUSA",31,12,19,66.3,97.533185026519,104.87222706024,0.30273124062199,46,49.5,34.9
"New Hampshire","AE",30,15,15,72.3,98.537035615015,106.19863460101,0.29710833280741,47.9,50.5,29.8
"Queens","ASun",31,12,19,73.7,103.09685710594,111.17615362993,0.29574548655043,49.9,54.1,33.7
"North Alabama","ASun",30,13,17,68.7,103.88493674968,112.18087407464,0.29244702270771,49.8,51.5,32.9
"Kennesaw St.","ASun",28,12,16,75,104.03343604025,112.39005741312,0.29141410749304,51.5,53.1,35.4
"Nebraska Omaha","Sum",29,11,18,68.3,102.55295725204,110.79764479659,0.29126436538684,49.5,53.4,39.7
"North Carolina Central","MEAC",27,14,13,67.4,103.09238756327,111.41058137284,0.29062249215586,49.8,49,40.4
"The Citadel","SC",29,8,21,66.3,101.21438481361,109.5106567472,0.28782290365075,50.6,53.5,33.7
"Oral Roberts","Sum",28,9,19,68.6,102.96074439239,111.41700029775,0.28746672905404,51.1,51.4,26
"Denver","Sum",30,13,17,71.4,107.08326423788,115.90826855993,0.28685406831826,51.8,54.7,35
"Central Michigan","MAC",31,17,14,66.3,96.088762055849,104.00836573655,0.28683859132079,46.8,47.3,27.4
"Utah Tech","WAC",30,10,20,71.2,99.139362435229,107.39860538092,0.28490954452958,50.4,50.4,40.3
"Lehigh","Pat",30,12,18,71,98.587765496301,106.80416406313,0.28484134969408,49.5,51.7,33
"Howard","MEAC",33,16,17,68.7,104.65248085917,113.3798576082,0.28472691503279,51.7,51.1,42.1
"Central Connecticut","NEC",29,18,11,67.7,100.02092049145,108.39393815192,0.28403838471996,50.2,49.6,33
"New Mexico St.","CUSA",28,9,19,67.2,99.261255274008,107.58236276313,0.28378446279617,46.9,50.9,32.7
"Portland","WCC",31,10,21,68.6,103.43168375414,112.2487743773,0.28074439934278,50.5,55.3,31.7
"Binghamton","AE",28,13,15,67.5,101.51034956235,110.41571560706,0.27546794570604,49.4,50,34.3
"Grambling St.","SWAC",33,18,15,65.7,97.930309602778,106.53314795554,0.27521928079054,48.1,49.7,38.8
"UMBC","AE",31,10,21,74.2,103.93350462997,113.06882171732,0.27511543900031,52.7,50.3,24.1
"Texas Southern","SWAC",32,15,17,68.7,97.564709549668,106.22415745518,0.27330655297295,46.9,48.3,31.1
"Bucknell","Pat",33,14,19,65.8,98.902361903484,107.83070341048,0.27013512146637,50.4,49.5,29
"SIU Edwardsville","OVC",30,14,16,67.8,100.47826220035,109.82190933862,0.26452819495303,47.2,51.1,31.9
"Georgia Southern","SB",33,9,24,69.8,103.5720257831,113.25381529033,0.26353256338338,50.8,52,28.9
"Niagara","MAAC",31,15,16,68.2,102.13893456858,111.78578911505,0.26155921666895,52,52.2,36
"DePaul","BE",32,3,29,68.7,100.71554976762,110.36414363069,0.25882616357853,48.1,56.5,33.5
"USC Upstate","BSth",27,7,20,68,99.549208600533,109.09820744176,0.25858071977192,49.6,52,29.5
"Tennessee St.","OVC",29,14,15,69.2,98.278807813056,107.82400157523,0.25617281465712,48.8,48.8,38.1
"FIU","CUSA",32,10,22,71.2,99.927977860928,109.88195183916,0.25124099234337,49.7,55.6,28.4
"Wagner","NEC",31,15,16,62.3,95.973421315607,105.60100705081,0.24985962747459,45.1,48.8,26.4
"Northern Illinois","MAC",29,9,20,69.1,102.22230752745,112.47860305603,0.24982413886674,49.8,52.9,36.2
"American","Pat",31,15,16,63.8,103.1839909484,113.58149111845,0.24897643911804,52.5,53.4,28.4
"Valparaiso","MVC",31,6,25,68.8,99.259132165939,109.32904971041,0.24764268511421,46.2,54.5,23.3
"Sacred Heart","NEC",30,14,16,70.2,100.72156340983,110.98335911205,0.24680341338428,51.5,51.6,31.7
"Chicago St.","ind",29,10,19,66.1,97.999792696681,108.03496112088,0.24580182500331,46.1,53.6,38.2
"Old Dominion","SB",31,6,25,70.8,98.25522505784,108.34136083646,0.24531387076797,47.6,51.3,27.1
"Presbyterian","BSth",30,11,19,68.5,101.06508232264,111.49924887097,0.24417745139833,51.2,52.8,36.8
"Louisiana Monroe","SB",28,9,19,68,99.544586399424,110.08090293363,0.23921024818007,44.8,52.6,38.4
"Alcorn St.","SWAC",31,13,18,67.6,105.36373458416,116.52625944747,0.23902566511562,48.9,55,37.4
"Boston University","Pat",32,15,17,66.8,97.207150474215,107.5502567947,0.23815694951682,47.8,50,30.2
"Jackson St.","SWAC",32,15,17,69.7,100.11188074203,110.77550571172,0.23794138486353,47,52.6,34.7
"Delaware St.","MEAC",32,13,19,69.9,94.362850288415,104.89772228968,0.22843998582014,46.1,50.9,39.5
"Bellarmine","ASun",28,5,23,66,99.909863329545,111.1115353039,0.22757409238771,49,53.9,21.4
"Jacksonville","ASun",30,13,17,66.7,98.861904012908,109.97712517073,0.22700388802402,48.7,52.3,36.3
"South Carolina St.","MEAC",30,12,18,69.7,98.143100106227,109.44240529518,0.22215086812208,45.7,52.2,36.5
"Elon","CAA",30,11,19,68.6,102.19810338823,114.03182342679,0.22097542614136,50.6,53.2,32.8
"Campbell","CAA",29,11,18,67.3,99.563468643163,111.33950045607,0.21660341453179,52,52.2,33.7
"Bethune Cookman","SWAC",32,15,17,70.6,97.138609099076,108.85471798917,0.2125596540802,47.3,50.1,38.2
"Idaho","BSky",30,9,21,65.8,98.99147633624,110.95934572223,0.21206938876782,50.2,53.5,26.7
"Robert Morris","Horz",30,8,22,68,100.58883662357,112.86930123081,0.21004133875806,50.3,53.3,28
"Southeastern Louisiana","Slnd",29,12,17,65.7,97.854129686366,109.82958859519,0.2095402593632,48.4,51.3,35
"Le Moyne","NEC",29,12,17,68.3,98.873118653495,111.19322867383,0.20579370398093,50.1,50.6,25.3
"Alabama St.","SWAC",29,10,19,68.1,92.615189286641,104.29697518765,0.20325459779303,41,49.1,28.5
"Coastal Carolina","SB",29,7,22,70.2,99.029829740373,111.68082206161,0.20059581430987,49.4,50.1,32.5
"Sacramento St.","BSky",32,8,24,64.9,97.541215385576,110.11322866698,0.19873920567353,48.7,54.1,32.9
"Western Michigan","MAC",31,11,20,69.4,98.559960391373,111.50701070199,0.19476237044224,48.7,50.9,31.5
"William & Mary","CAA",31,8,23,66.8,100.20744626096,113.38435213887,0.19454869161456,48.3,52.2,31.9
"South Dakota","Sum",29,9,20,69.8,102.59494451182,116.22240709203,0.19243804759474,51.9,53.1,30.5
"Northern Arizona","BSky",33,14,19,69.2,97.733378930992,110.81396115449,0.1908478203546,49.3,52.9,31.1
"Eastern Illinois","OVC",28,10,18,67.5,95.558102529319,108.79085937712,0.18370152138044,44.8,52,27.2
"Charleston Southern","BSth",27,7,20,67.7,94.89686177626,108.06431823111,0.18328266814031,45.2,50.9,31.2
"Lafayette","Pat",31,10,21,66.2,92.82747844966,105.76571650277,0.18234159128002,46.9,48.5,23.9
"Eastern Michigan","MAC",29,11,18,66.3,97.09760885107,111.0670420412,0.1756939387289,47.9,52,25
"Northwestern St.","Slnd",30,7,23,68.5,97.13266252544,111.8033843793,0.16553094153633,47.7,51.9,36.7
"Navy","Pat",30,12,18,66.4,95.549079117989,110.56511163035,0.15728194299881,44,50.3,34.8
"Southern Indiana","OVC",29,5,24,70,95.589985147119,110.63449509377,0.15697837481118,45.6,49.5,37.6
"NJIT","AE",27,6,21,67.4,97.714560994304,113.34547280169,0.15362040710894,44.6,52.4,31.2
"UT Rio Grande Valley","WAC",29,4,25,72.2,95.230838856488,110.52736260325,0.15277088806513,45.1,53.1,41.2
"New Orleans","Slnd",29,6,23,72.2,98.248541699361,114.37293973802,0.14835178406073,45.5,54.4,39.2
"Arkansas Pine Bluff","SWAC",27,9,18,72.9,101.87638613958,118.93140369504,0.14429731080264,51.5,52.6,40.2
"Hampton","CAA",30,6,24,70.7,95.928756548252,112.05620090934,0.14343606820027,46.7,51.6,29.4
"Alabama A&M","SWAC",35,12,23,71.4,93.457899588377,109.20274329636,0.14301218070218,45.9,49.1,47.2
"Dartmouth","Ivy",25,4,21,66,92.606385973716,108.63061888792,0.13760277562044,47.6,54.2,27.8
"Fairleigh Dickinson","NEC",30,13,17,73.1,96.491696386883,113.36523761985,0.13548412770063,47.1,52.9,34.9
"Manhattan","MAAC",29,6,23,69.3,94.680032192045,111.50198178001,0.13230834626953,47.2,53.1,22.1
"Texas A&M Commerce","Slnd",30,10,20,67.1,94.344228738385,111.39263303317,0.12894967155218,46,52.4,30.8
"Central Arkansas","ASun",30,7,23,70.1,96.91862548347,114.4518173444,0.1287287998342,47.5,54,29.3
"Morgan St.","MEAC",28,8,20,71.6,96.38501374969,113.92569587652,0.12755513912855,47.4,52,31.3
"Prairie View A&M","SWAC",29,8,21,71.8,93.713909568847,111.29572443611,0.1216007060239,45.6,53.7,36.9
"Florida A&M","SWAC",27,5,22,69.1,92.850538378922,110.42172720654,0.11992589788975,47.5,51.8,28
"North Carolina A&T","CAA",32,7,25,68.9,96.181424000895,114.63919108583,0.11723639404003,43.9,54.5,34
"Incarnate Word","Slnd",29,6,23,70.8,96.102716767841,114.58702788459,0.11680442611187,48.2,51.8,37.1
"Tennessee Tech","OVC",28,7,21,66.6,94.770117869372,113.09769224291,0.11576351904837,49,52.5,31
"Loyola MD","Pat",31,6,25,66.7,93.746822540979,111.9912147602,0.1145625801124,47.2,53.3,30
"Cal Poly","BW",31,3,28,66.6,93.274923202147,111.47906984924,0.11402369018982,46,51.5,31.3
"Army","Pat",30,8,22,64,90.840777707115,108.60364463991,0.11366273702989,47.1,50.3,25.4
"LIU","NEC",29,7,22,71.3,92.728156328699,111.20905645689,0.11007197894791,46.4,50.8,31.5
"Buffalo","MAC",30,3,27,70,95.049819603709,114.48599418321,0.10530799259785,47.3,53.9,26
"Detroit Mercy","Horz",32,1,31,68,95.630099465706,116.02722140607,0.097670697534768,47.3,55.9,30.3
"Holy Cross","Pat",32,9,23,66.7,99.160944111879,120.87555213403,0.093029027841658,50.1,53.6,25.9
"Pacific","WCC",30,4,26,69.3,94.918865731889,115.84018563391,0.091898281486603,46.5,56.3,37.1
"Maryland Eastern Shore","MEAC",25,5,20,68.1,88.953984051778,109.39721948237,0.084791072661984,43,50.9,32.7
"Lindenwood","OVC",28,6,22,68.4,91.733879376387,113.03526508547,0.083074157517093,43.3,53.9,38.3
"Houston Christian","Slnd",27,4,23,72.5,95.821517687053,118.26273842607,0.081671732041918,46.9,54,36.8
"Southeast Missouri St.","OVC",27,5,22,70.2,90.402114803267,112.0454654778,0.078108669225611,45.1,52,27
"Siena","MAAC",32,4,28,66.9,90.221803159943,112.24762191338,0.075020056176137,44.7,51.8,30.8
"VMI","SC",29,1,28,75.7,88.089587709099,110.4692059812,0.068920028872767,46,54.4,27.6
"Stonehill","NEC",30,3,27,69.1,90.510155742768,113.74943934621,0.067347633814787,46.7,52.7,22.6
"Saint Francis","NEC",28,6,22,66.4,93.261080726088,117.32889891491,0.066598744512219,47.2,53,32.6
"IU Indy","Horz",29,3,26,68.3,92.721769563088,116.91630828317,0.064989415387346,46.5,58.2,33.2
"Coppin St.","MEAC",29,2,27,67.3,84.663360379968,110.01291250806,0.046885775843422,42.1,51.3,31.1
"Mississippi Valley St.","SWAC",31,1,30,65.5,85.423943795868,116.42939886423,0.027623550716194,42.5,55.6,33
