"team","conf","games","wins","losses","adj_t","adj_o","adj_d","barthag","efg","def_efg","ftr"
"Marshall","SB",27,15,12,69.6,104.31865297411,106.40391318313,0.44334190806124,50.1,49.7,35.3
"South Florida","Amer",27,12,15,69.4,103.57259969368,105.689923858,0.44208052432849,50.6,49.3,35
"Cleveland St.","Horz",26,16,10,67,102.17968304786,104.29609182784,0.44133104358713,48.9,50.5,31.6
"Drexel","CAA",28,14,14,63.7,102.04930441323,104.34622371756,0.43635431631054,51.9,47.8,22.9
"Dartmouth","Ivy",22,11,11,71.7,101.38021579625,103.67214967159,0.4360794702638,51.1,49.5,30.6
"Quinnipiac","MAAC",26,16,10,72.3,101.49951632377,103.87414818311,0.43390182341611,48.4,49.5,30.5
"Brown","Ivy",23,12,11,66.6,104.19992285391,106.64511091801,0.43370638014852,52.5,49.3,28.4
"Princeton","Ivy",24,15,9,67.6,104.3740284031,106.83355569827,0.43343530251156,50.8,52.5,25.7
"Wright St.","Horz",27,11,16,68.3,107.69487073256,110.28090500734,0.43219980290284,55.1,52.2,28.2
"Portland St.","BSky",25,13,12,69.2,101.65674664313,104.10357032346,0.43204310252571,51.2,50.5,34.6
"Texas St.","SB",27,13,14,66.6,108.92231879024,111.86112903848,0.42405058074073,50.9,50.5,34.8
"Oakland","Horz",28,12,16,64.1,105.9244275003,108.84620728295,0.42240323497039,49,51.9,30.9
"Merrimack","MAAC",28,15,13,65.4,98.135904523212,100.89136874862,0.4210541637354,48.9,46.7,25.4
"Campbell","CAA",27,13,14,66.6,102.11904487221,104.99074945882,0.42093664067719,50.4,51.5,30.5
"UTSA","Amer",25,8,17,70.7,106.9131253698,110.01253748525,0.41857058123099,49.2,54.3,28.9
"Longwood","BSth",26,14,12,69.8,105.79389123769,108.88187107024,0.41803046581558,51.8,55.4,46
"UNC Asheville","BSth",24,16,8,68.7,108.32820027676,111.58162123748,0.41573789778106,52.1,53.1,35.5
"William & Mary","CAA",26,15,11,72.2,108.03506057966,111.37093743343,0.41344986340882,53.9,53,36
"Abilene Christian","WAC",24,11,13,69.6,99.22299598078,102.31137113267,0.41277952626705,47.6,52.2,39.4
"Youngstown St.","Horz",28,17,11,70.2,101.18729820851,104.4971914159,0.4085047742292,49.9,48.3,36.1
"Massachusetts","A10",27,10,17,71.3,101.533211881,105.03648604763,0.40369300311185,45.2,49.1,34.8
"Hampton","CAA",26,13,13,66.2,103.26936272945,106.87097500578,0.40269763387563,47.8,52.6,30.8
"Southeast Missouri St.","OVC",26,16,10,69.4,101.62005147082,105.17948067043,0.40229429172896,51.7,48.1,28.7
"Idaho St.","BSky",23,10,13,66.6,105.19538372576,108.93971515928,0.40078021948805,48.4,53.7,35.3
"Pepperdine","WCC",28,9,19,70.2,104.94353276618,108.71570471509,0.39984544034848,49.1,52.5,32.1
"South Carolina St.","MEAC",23,11,12,69.5,101.32291357309,105.05496828952,0.39748194788748,50.3,50.3,42.7
"Missouri St.","MVC",27,7,20,64.8,102.11933541669,105.96320854817,0.39533922788883,51.4,54.4,34.9
"Queens","ASun",27,15,12,69.8,105.38555870761,109.37882565157,0.39467457240785,53,52.2,34
"Winthrop","BSth",26,16,10,73.4,105.54249304108,109.55175907307,0.39442248345583,52.1,51.7,49.4
"Cal Poly","BW",27,10,17,75.1,106.86383075786,111.15354323774,0.38874118080724,53.9,53.2,28
"Southern","SWAC",24,15,9,69.5,98.776918135043,102.80715657987,0.38701034506309,47.5,49.3,38.4
"UT Rio Grande Valley","Slnd",24,10,14,70.9,104.87752308061,109.23023409995,0.38517409419854,51.3,51.4,23.7
"La Salle","A10",26,11,15,69.9,102.755635706,107.0286994753,0.38495993479487,45.8,53.2,30.3
"Hofstra","CAA",27,11,16,64.7,98.03010347115,102.12006610797,0.38460245802504,49,46.5,26.8
